# RBT-106 null genealogy: seed 7, founders w = 1, part 2's genealogy /tmp/claude-0/-home-user-rabbitstew/48987f56-4bef-50cc-9e49-8e83922016cb/scratchpad/p2/forage-7, 20 replicates
founder mapping: part 2's saved c0-i equals founder file i for 30 of 30 bare (odd) i
| rep | s300 k/n/B | s599 k/n/B | HELD at all |
|---|---|---|---|
| 0 | 6/7/6 | 0/6/3 | False |
| 1 | 0/7/6 | 3/6/3 | False |
| 2 | 7/7/6 H | 6/6/3 H | True |
| 3 | 5/7/6 | 0/6/3 | False |
| 4 | 7/7/6 H | 0/6/3 | False |
| 5 | 7/7/6 H | 3/6/3 | False |
| 6 | 4/7/6 | 0/6/3 | False |
| 7 | 0/7/6 | 0/6/3 | False |
| 8 | 4/7/6 | 6/6/3 H | False |
| 9 | 6/7/6 | 0/6/3 | False |
| 10 | 7/7/6 H | 0/6/3 | False |
| 11 | 0/7/6 | 0/6/3 | False |
| 12 | 1/7/6 | 0/6/3 | False |
| 13 | 7/7/6 H | 0/6/3 | False |
| 14 | 3/7/6 | 0/6/3 | False |
| 15 | 5/7/6 | 0/6/3 | False |
| 16 | 6/7/6 | 3/6/3 | False |
| 17 | 7/7/6 H | 5/6/3 H | True |
| 18 | 3/7/6 | 3/6/3 | False |
| 19 | 0/7/6 | 0/6/3 | False |

HELD at season 300: 6/20, HELD at season 599: 3/20
NULL seed 7 w 1: HELD at every window season in 2 of 20 replicates
